transactionId,date,itemName,quantitySold,mealType,unitPrice
SYN-2026-03-03-3,2026-03-03,Idli & Sambar,117,Breakfast,40
SYN-2026-03-03-4,2026-03-03,Dal Khichdi,82,Lunch,65
SYN-2026-03-04-0,2026-03-04,Veg Thali,177,Lunch,80
SYN-2026-03-04-1,2026-03-04,Paneer Meal,76,Lunch,120
SYN-2026-03-04-2,2026-03-04,Rice Bowl,112,Lunch,60
SYN-2026-03-04-3,2026-03-04,Idli & Sambar,124,Breakfast,40
SYN-2026-03-04-4,2026-03-04,Dal Khichdi,77,Lunch,65
SYN-2026-03-05-0,2026-03-05,Veg Thali,163,Lunch,80
SYN-2026-03-05-1,2026-03-05,Paneer Meal,71,Lunch,120
SYN-2026-03-05-2,2026-03-05,Rice Bowl,116,Lunch,60
SYN-2026-03-05-3,2026-03-05,Idli & Sambar,138,Breakfast,40
SYN-2026-03-05-4,2026-03-05,Dal Khichdi,86,Lunch,65
SYN-2026-03-06-0,2026-03-06,Veg Thali,189,Lunch,80
SYN-2026-03-06-1,2026-03-06,Paneer Meal,84,Lunch,120
SYN-2026-03-06-2,2026-03-06,Rice Bowl,122,Lunch,60
SYN-2026-03-06-3,2026-03-06,Idli & Sambar,150,Breakfast,40
SYN-2026-03-06-4,2026-03-06,Dal Khichdi,108,Lunch,65
SYN-2026-03-07-0,2026-03-07,Veg Thali,192,Lunch,80
SYN-2026-03-07-1,2026-03-07,Paneer Meal,76,Lunch,120
SYN-2026-03-07-2,2026-03-07,Rice Bowl,109,Lunch,60
SYN-2026-03-07-3,2026-03-07,Idli & Sambar,125,Breakfast,40
SYN-2026-03-07-4,2026-03-07,Dal Khichdi,85,Lunch,65
SYN-2026-03-08-0,2026-03-08,Veg Thali,184,Lunch,80
SYN-2026-03-08-1,2026-03-08,Paneer Meal,80,Lunch,120
SYN-2026-03-08-2,2026-03-08,Rice Bowl,123,Lunch,60
SYN-2026-03-08-3,2026-03-08,Idli & Sambar,138,Breakfast,40
SYN-2026-03-08-4,2026-03-08,Dal Khichdi,85,Lunch,65
SYN-2026-03-09-0,2026-03-09,Veg Thali,174,Lunch,80
SYN-2026-03-09-1,2026-03-09,Paneer Meal,74,Lunch,120
SYN-2026-03-09-2,2026-03-09,Rice Bowl,120,Lunch,60
SYN-2026-03-09-3,2026-03-09,Idli & Sambar,148,Breakfast,40
SYN-2026-03-09-4,2026-03-09,Dal Khichdi,95,Lunch,65
SYN-2026-03-10-0,2026-03-10,Veg Thali,191,Lunch,80
SYN-2026-03-10-1,2026-03-10,Paneer Meal,74,Lunch,120
SYN-2026-03-10-2,2026-03-10,Rice Bowl,112,Lunch,60
SYN-2026-03-10-3,2026-03-10,Idli & Sambar,138,Breakfast,40
SYN-2026-03-10-4,2026-03-10,Dal Khichdi,96,Lunch,65
SYN-2026-03-11-0,2026-03-11,Veg Thali,202,Lunch,80
SYN-2026-03-11-1,2026-03-11,Paneer Meal,83,Lunch,120
SYN-2026-03-11-2,2026-03-11,Rice Bowl,120,Lunch,60
SYN-2026-03-11-3,2026-03-11,Idli & Sambar,135,Breakfast,40
SYN-2026-03-11-4,2026-03-11,Dal Khichdi,88,Lunch,65
SYN-2026-03-12-0,2026-03-12,Veg Thali,188,Lunch,80
SYN-2026-03-12-1,2026-03-12,Paneer Meal,82,Lunch,120
SYN-2026-03-12-2,2026-03-12,Rice Bowl,130,Lunch,60
SYN-2026-03-12-3,2026-03-12,Idli & Sambar,149,Breakfast,40
SYN-2026-03-12-4,2026-03-12,Dal Khichdi,92,Lunch,65
SYN-2026-03-13-0,2026-03-13,Veg Thali,200,Lunch,80
SYN-2026-03-13-1,2026-03-13,Paneer Meal,92,Lunch,120
SYN-2026-03-13-2,2026-03-13,Rice Bowl,138,Lunch,60
SYN-2026-03-13-3,2026-03-13,Idli & Sambar,168,Breakfast,40
SYN-2026-03-13-4,2026-03-13,Dal Khichdi,117,Lunch,65
SYN-2026-03-14-0,2026-03-14,Veg Thali,204,Lunch,80
SYN-2026-03-14-1,2026-03-14,Paneer Meal,80,Lunch,120
SYN-2026-03-14-2,2026-03-14,Rice Bowl,116,Lunch,60
SYN-2026-03-14-3,2026-03-14,Idli & Sambar,139,Breakfast,40
SYN-2026-03-14-4,2026-03-14,Dal Khichdi,96,Lunch,65
SYN-2026-03-15-0,2026-03-15,Veg Thali,204,Lunch,80
SYN-2026-03-15-1,2026-03-15,Paneer Meal,86,Lunch,120
SYN-2026-03-15-2,2026-03-15,Rice Bowl,127,Lunch,60
SYN-2026-03-15-3,2026-03-15,Idli & Sambar,142,Breakfast,40
SYN-2026-03-15-4,2026-03-15,Dal Khichdi,90,Lunch,65
SYN-2026-03-16-0,2026-03-16,Veg Thali,187,Lunch,80
SYN-2026-03-16-1,2026-03-16,Paneer Meal,82,Lunch,120
SYN-2026-03-16-2,2026-03-16,Rice Bowl,131,Lunch,60
SYN-2026-03-16-3,2026-03-16,Idli & Sambar,155,Breakfast,40
SYN-2026-03-16-4,2026-03-16,Dal Khichdi,97,Lunch,65
SYN-2026-03-17-0,2026-03-17,Veg Thali,191,Lunch,80
SYN-2026-03-17-1,2026-03-17,Paneer Meal,76,Lunch,120
SYN-2026-03-17-2,2026-03-17,Rice Bowl,119,Lunch,60
SYN-2026-03-17-3,2026-03-17,Idli & Sambar,150,Breakfast,40
SYN-2026-03-17-4,2026-03-17,Dal Khichdi,102,Lunch,65
SYN-2026-03-18-0,2026-03-18,Veg Thali,207,Lunch,80
SYN-2026-03-18-1,2026-03-18,Paneer Meal,82,Lunch,120
SYN-2026-03-18-2,2026-03-18,Rice Bowl,118,Lunch,60
SYN-2026-03-18-3,2026-03-18,Idli & Sambar,137,Breakfast,40
SYN-2026-03-18-4,2026-03-18,Dal Khichdi,93,Lunch,65
SYN-2026-03-19-0,2026-03-19,Veg Thali,197,Lunch,80
SYN-2026-03-19-1,2026-03-19,Paneer Meal,85,Lunch,120
SYN-2026-03-19-2,2026-03-19,Rice Bowl,129,Lunch,60
SYN-2026-03-19-3,2026-03-19,Idli & Sambar,145,Breakfast,40
SYN-2026-03-19-4,2026-03-19,Dal Khichdi,90,Lunch,65
SYN-2026-03-20-0,2026-03-20,Veg Thali,197,Lunch,80
SYN-2026-03-20-1,2026-03-20,Paneer Meal,94,Lunch,120
SYN-2026-03-20-2,2026-03-20,Rice Bowl,142,Lunch,60
SYN-2026-03-20-3,2026-03-20,Idli & Sambar,169,Breakfast,40
SYN-2026-03-20-4,2026-03-20,Dal Khichdi,114,Lunch,65
SYN-2026-03-21-0,2026-03-21,Veg Thali,192,Lunch,80
SYN-2026-03-21-1,2026-03-21,Paneer Meal,75,Lunch,120
SYN-2026-03-21-2,2026-03-21,Rice Bowl,114,Lunch,60
SYN-2026-03-21-3,2026-03-21,Idli & Sambar,141,Breakfast,40
SYN-2026-03-21-4,2026-03-21,Dal Khichdi,98,Lunch,65
SYN-2026-03-22-0,2026-03-22,Veg Thali,201,Lunch,80
SYN-2026-03-22-1,2026-03-22,Paneer Meal,82,Lunch,120
SYN-2026-03-22-2,2026-03-22,Rice Bowl,118,Lunch,60
SYN-2026-03-22-3,2026-03-22,Idli & Sambar,133,Breakfast,40
SYN-2026-03-22-4,2026-03-22,Dal Khichdi,88,Lunch,65
SYN-2026-03-23-0,2026-03-23,Veg Thali,183,Lunch,80
SYN-2026-03-23-1,2026-03-23,Paneer Meal,80,Lunch,120
SYN-2026-03-23-2,2026-03-23,Rice Bowl,125,Lunch,60
SYN-2026-03-23-3,2026-03-23,Idli & Sambar,143,Breakfast,40
SYN-2026-03-23-4,2026-03-23,Dal Khichdi,88,Lunch,65
SYN-2026-03-24-0,2026-03-24,Veg Thali,173,Lunch,80
SYN-2026-03-24-1,2026-03-24,Paneer Meal,72,Lunch,120
SYN-2026-03-24-2,2026-03-24,Rice Bowl,116,Lunch,60
SYN-2026-03-24-3,2026-03-24,Idli & Sambar,145,Breakfast,40
SYN-2026-03-24-4,2026-03-24,Dal Khichdi,95,Lunch,65
SYN-2026-03-25-0,2026-03-25,Veg Thali,187,Lunch,80
SYN-2026-03-25-1,2026-03-25,Paneer Meal,73,Lunch,120
SYN-2026-03-25-2,2026-03-25,Rice Bowl,107,Lunch,60
SYN-2026-03-25-3,2026-03-25,Idli & Sambar,129,Breakfast,40
SYN-2026-03-25-4,2026-03-25,Dal Khichdi,90,Lunch,65
SYN-2026-03-26-0,2026-03-26,Veg Thali,187,Lunch,80
SYN-2026-03-26-1,2026-03-26,Paneer Meal,78,Lunch,120
SYN-2026-03-26-2,2026-03-26,Rice Bowl,114,Lunch,60
SYN-2026-03-26-3,2026-03-26,Idli & Sambar,126,Breakfast,40
SYN-2026-03-26-4,2026-03-26,Dal Khichdi,81,Lunch,65
SYN-2026-03-27-0,2026-03-27,Veg Thali,181,Lunch,80
SYN-2026-03-27-1,2026-03-27,Paneer Meal,89,Lunch,120
SYN-2026-03-27-2,2026-03-27,Rice Bowl,133,Lunch,60
SYN-2026-03-27-3,2026-03-27,Idli & Sambar,154,Breakfast,40
SYN-2026-03-27-4,2026-03-27,Dal Khichdi,101,Lunch,65
SYN-2026-03-28-0,2026-03-28,Veg Thali,164,Lunch,80
SYN-2026-03-28-1,2026-03-28,Paneer Meal,66,Lunch,120
SYN-2026-03-28-2,2026-03-28,Rice Bowl,104,Lunch,60
SYN-2026-03-28-3,2026-03-28,Idli & Sambar,132,Breakfast,40
SYN-2026-03-28-4,2026-03-28,Dal Khichdi,89,Lunch,65
SYN-2026-03-29-0,2026-03-29,Veg Thali,179,Lunch,80
SYN-2026-03-29-1,2026-03-29,Paneer Meal,70,Lunch,120
SYN-2026-03-29-2,2026-03-29,Rice Bowl,100,Lunch,60
SYN-2026-03-29-3,2026-03-29,Idli & Sambar,117,Breakfast,40
SYN-2026-03-29-4,2026-03-29,Dal Khichdi,81,Lunch,65
SYN-2026-03-30-0,2026-03-30,Veg Thali,169,Lunch,80
SYN-2026-03-30-1,2026-03-30,Paneer Meal,73,Lunch,120
SYN-2026-03-30-2,2026-03-30,Rice Bowl,110,Lunch,60
SYN-2026-03-30-3,2026-03-30,Idli & Sambar,121,Breakfast,40
SYN-2026-03-30-4,2026-03-30,Dal Khichdi,75,Lunch,65
SYN-2026-03-31-0,2026-03-31,Veg Thali,150,Lunch,80
SYN-2026-03-31-1,2026-03-31,Paneer Meal,65,Lunch,120
SYN-2026-03-31-2,2026-03-31,Rice Bowl,107,Lunch,60
SYN-2026-03-31-3,2026-03-31,Idli & Sambar,130,Breakfast,40
SYN-2026-03-31-4,2026-03-31,Dal Khichdi,82,Lunch,65
SYN-2026-04-01-0,2026-04-01,Veg Thali,158,Lunch,80
SYN-2026-04-01-1,2026-04-01,Paneer Meal,61,Lunch,120
SYN-2026-04-01-2,2026-04-01,Rice Bowl,94,Lunch,60
SYN-2026-04-01-3,2026-04-01,Idli & Sambar,119,Breakfast,40
SYN-2026-04-01-4,2026-04-01,Dal Khichdi,83,Lunch,65
SYN-2026-04-02-0,2026-04-02,Veg Thali,169,Lunch,80
SYN-2026-04-02-1,2026-04-02,Paneer Meal,68,Lunch,120
SYN-2026-04-02-2,2026-04-02,Rice Bowl,96,Lunch,60
SYN-2026-04-02-3,2026-04-02,Idli & Sambar,108,Breakfast,40
SYN-2026-04-02-4,2026-04-02,Dal Khichdi,73,Lunch,65
SYN-2026-04-03-0,2026-04-03,Veg Thali,169,Lunch,80
SYN-2026-04-03-1,2026-04-03,Paneer Meal,84,Lunch,120
SYN-2026-04-03-2,2026-04-03,Rice Bowl,121,Lunch,60
SYN-2026-04-03-3,2026-04-03,Idli & Sambar,135,Breakfast,40
SYN-2026-04-03-4,2026-04-03,Dal Khichdi,88,Lunch,65
SYN-2026-04-04-0,2026-04-04,Veg Thali,142,Lunch,80
SYN-2026-04-04-1,2026-04-04,Paneer Meal,60,Lunch,120
SYN-2026-04-04-2,2026-04-04,Rice Bowl,98,Lunch,60
SYN-2026-04-04-3,2026-04-04,Idli & Sambar,123,Breakfast,40
SYN-2026-04-04-4,2026-04-04,Dal Khichdi,80,Lunch,65
SYN-2026-04-05-0,2026-04-05,Veg Thali,157,Lunch,80
SYN-2026-04-05-1,2026-04-05,Paneer Meal,60,Lunch,120
SYN-2026-04-05-2,2026-04-05,Rice Bowl,89,Lunch,60
SYN-2026-04-05-3,2026-04-05,Idli & Sambar,109,Breakfast,40
SYN-2026-04-05-4,2026-04-05,Dal Khichdi,77,Lunch,65
SYN-2026-04-06-0,2026-04-06,Veg Thali,162,Lunch,80
SYN-2026-04-06-1,2026-04-06,Paneer Meal,67,Lunch,120
SYN-2026-04-06-2,2026-04-06,Rice Bowl,97,Lunch,60
SYN-2026-04-06-3,2026-04-06,Idli & Sambar,106,Breakfast,40
SYN-2026-04-06-4,2026-04-06,Dal Khichdi,68,Lunch,65
SYN-2026-04-07-0,2026-04-07,Veg Thali,144,Lunch,80
SYN-2026-04-07-1,2026-04-07,Paneer Meal,64,Lunch,120
SYN-2026-04-07-2,2026-04-07,Rice Bowl,103,Lunch,60
SYN-2026-04-07-3,2026-04-07,Idli & Sambar,120,Breakfast,40
SYN-2026-04-07-4,2026-04-07,Dal Khichdi,73,Lunch,65
SYN-2026-04-08-0,2026-04-08,Veg Thali,143,Lunch,80
SYN-2026-04-08-1,2026-04-08,Paneer Meal,58,Lunch,120
SYN-2026-04-08-2,2026-04-08,Rice Bowl,93,Lunch,60
SYN-2026-04-08-3,2026-04-08,Idli & Sambar,119,Breakfast,40
SYN-2026-04-08-4,2026-04-08,Dal Khichdi,80,Lunch,65
SYN-2026-04-09-0,2026-04-09,Veg Thali,162,Lunch,80
SYN-2026-04-09-1,2026-04-09,Paneer Meal,63,Lunch,120
SYN-2026-04-09-2,2026-04-09,Rice Bowl,89,Lunch,60
SYN-2026-04-09-3,2026-04-09,Idli & Sambar,106,Breakfast,40
SYN-2026-04-09-4,2026-04-09,Dal Khichdi,74,Lunch,65
SYN-2026-04-10-0,2026-04-10,Veg Thali,175,Lunch,80
SYN-2026-04-10-1,2026-04-10,Paneer Meal,84,Lunch,120
SYN-2026-04-10-2,2026-04-10,Rice Bowl,117,Lunch,60
SYN-2026-04-10-3,2026-04-10,Idli & Sambar,127,Breakfast,40
SYN-2026-04-10-4,2026-04-10,Dal Khichdi,85,Lunch,65
SYN-2026-04-11-0,2026-04-11,Veg Thali,144,Lunch,80
SYN-2026-04-11-1,2026-04-11,Paneer Meal,63,Lunch,120
SYN-2026-04-11-2,2026-04-11,Rice Bowl,103,Lunch,60
SYN-2026-04-11-3,2026-04-11,Idli & Sambar,125,Breakfast,40
SYN-2026-04-11-4,2026-04-11,Dal Khichdi,78,Lunch,65
SYN-2026-04-12-0,2026-04-12,Veg Thali,154,Lunch,80
SYN-2026-04-12-1,2026-04-12,Paneer Meal,60,Lunch,120
SYN-2026-04-12-2,2026-04-12,Rice Bowl,93,Lunch,60
SYN-2026-04-12-3,2026-04-12,Idli & Sambar,118,Breakfast,40
SYN-2026-04-12-4,2026-04-12,Dal Khichdi,82,Lunch,65
SYN-2026-04-13-0,2026-04-13,Veg Thali,171,Lunch,80
SYN-2026-04-13-1,2026-04-13,Paneer Meal,68,Lunch,120
SYN-2026-04-13-2,2026-04-13,Rice Bowl,96,Lunch,60
SYN-2026-04-13-3,2026-04-13,Idli & Sambar,110,Breakfast,40
SYN-2026-04-13-4,2026-04-13,Dal Khichdi,74,Lunch,65
SYN-2026-04-14-0,2026-04-14,Veg Thali,162,Lunch,80
SYN-2026-04-14-1,2026-04-14,Paneer Meal,71,Lunch,120
SYN-2026-04-14-2,2026-04-14,Rice Bowl,109,Lunch,60
SYN-2026-04-14-3,2026-04-14,Idli & Sambar,122,Breakfast,40
SYN-2026-04-14-4,2026-04-14,Dal Khichdi,74,Lunch,65
SYN-2026-04-15-0,2026-04-15,Veg Thali,152,Lunch,80
SYN-2026-04-15-1,2026-04-15,Paneer Meal,65,Lunch,120
SYN-2026-04-15-2,2026-04-15,Rice Bowl,106,Lunch,60
SYN-2026-04-15-3,2026-04-15,Idli & Sambar,132,Breakfast,40
SYN-2026-04-15-4,2026-04-15,Dal Khichdi,85,Lunch,65
SYN-2026-04-16-0,2026-04-16,Veg Thali,171,Lunch,80
SYN-2026-04-16-1,2026-04-16,Paneer Meal,66,Lunch,120
SYN-2026-04-16-2,2026-04-16,Rice Bowl,98,Lunch,60
SYN-2026-04-16-3,2026-04-16,Idli & Sambar,121,Breakfast,40
SYN-2026-04-16-4,2026-04-16,Dal Khichdi,85,Lunch,65
SYN-2026-04-17-0,2026-04-17,Veg Thali,198,Lunch,80
SYN-2026-04-17-1,2026-04-17,Paneer Meal,91,Lunch,120
SYN-2026-04-17-2,2026-04-17,Rice Bowl,124,Lunch,60
SYN-2026-04-17-3,2026-04-17,Idli & Sambar,136,Breakfast,40
SYN-2026-04-17-4,2026-04-17,Dal Khichdi,94,Lunch,65
SYN-2026-04-18-0,2026-04-18,Veg Thali,168,Lunch,80
SYN-2026-04-18-1,2026-04-18,Paneer Meal,74,Lunch,120
SYN-2026-04-18-2,2026-04-18,Rice Bowl,118,Lunch,60
SYN-2026-04-18-3,2026-04-18,Idli & Sambar,135,Breakfast,40
SYN-2026-04-18-4,2026-04-18,Dal Khichdi,83,Lunch,65
SYN-2026-04-19-0,2026-04-19,Veg Thali,167,Lunch,80
SYN-2026-04-19-1,2026-04-19,Paneer Meal,69,Lunch,120
SYN-2026-04-19-2,2026-04-19,Rice Bowl,110,Lunch,60
SYN-2026-04-19-3,2026-04-19,Idli & Sambar,139,Breakfast,40
SYN-2026-04-19-4,2026-04-19,Dal Khichdi,92,Lunch,65
SYN-2026-04-20-0,2026-04-20,Veg Thali,189,Lunch,80
SYN-2026-04-20-1,2026-04-20,Paneer Meal,73,Lunch,120
SYN-2026-04-20-2,2026-04-20,Rice Bowl,107,Lunch,60
SYN-2026-04-20-3,2026-04-20,Idli & Sambar,127,Breakfast,40
SYN-2026-04-20-4,2026-04-20,Dal Khichdi,88,Lunch,65
SYN-2026-04-21-0,2026-04-21,Veg Thali,191,Lunch,80
SYN-2026-04-21-1,2026-04-21,Paneer Meal,81,Lunch,120
SYN-2026-04-21-2,2026-04-21,Rice Bowl,119,Lunch,60
SYN-2026-04-21-3,2026-04-21,Idli & Sambar,132,Breakfast,40
SYN-2026-04-21-4,2026-04-21,Dal Khichdi,84,Lunch,65
SYN-2026-04-22-0,2026-04-22,Veg Thali,176,Lunch,80
SYN-2026-04-22-1,2026-04-22,Paneer Meal,77,Lunch,120
SYN-2026-04-22-2,2026-04-22,Rice Bowl,124,Lunch,60
SYN-2026-04-22-3,2026-04-22,Idli & Sambar,147,Breakfast,40
SYN-2026-04-22-4,2026-04-22,Dal Khichdi,92,Lunch,65
SYN-2026-04-23-0,2026-04-23,Veg Thali,184,Lunch,80
SYN-2026-04-23-1,2026-04-23,Paneer Meal,73,Lunch,120
SYN-2026-04-23-2,2026-04-23,Rice Bowl,114,Lunch,60
SYN-2026-04-23-3,2026-04-23,Idli & Sambar,143,Breakfast,40
SYN-2026-04-23-4,2026-04-23,Dal Khichdi,98,Lunch,65
SYN-2026-04-24-0,2026-04-24,Veg Thali,219,Lunch,80
SYN-2026-04-24-1,2026-04-24,Paneer Meal,97,Lunch,120
SYN-2026-04-24-2,2026-04-24,Rice Bowl,132,Lunch,60
SYN-2026-04-24-3,2026-04-24,Idli & Sambar,150,Breakfast,40
SYN-2026-04-24-4,2026-04-24,Dal Khichdi,107,Lunch,65
SYN-2026-04-25-0,2026-04-25,Veg Thali,195,Lunch,80
SYN-2026-04-25-1,2026-04-25,Paneer Meal,84,Lunch,120
SYN-2026-04-25-2,2026-04-25,Rice Bowl,128,Lunch,60
SYN-2026-04-25-3,2026-04-25,Idli & Sambar,144,Breakfast,40
SYN-2026-04-25-4,2026-04-25,Dal Khichdi,89,Lunch,65
SYN-2026-04-26-0,2026-04-26,Veg Thali,182,Lunch,80
SYN-2026-04-26-1,2026-04-26,Paneer Meal,78,Lunch,120
SYN-2026-04-26-2,2026-04-26,Rice Bowl,126,Lunch,60
SYN-2026-04-26-3,2026-04-26,Idli & Sambar,154,Breakfast,40
SYN-2026-04-26-4,2026-04-26,Dal Khichdi,99,Lunch,65
SYN-2026-04-27-0,2026-04-27,Veg Thali,197,Lunch,80
SYN-2026-04-27-1,2026-04-27,Paneer Meal,77,Lunch,120
SYN-2026-04-27-2,2026-04-27,Rice Bowl,116,Lunch,60
SYN-2026-04-27-3,2026-04-27,Idli & Sambar,144,Breakfast,40
SYN-2026-04-27-4,2026-04-27,Dal Khichdi,100,Lunch,65
SYN-2026-04-28-0,2026-04-28,Veg Thali,208,Lunch,80
SYN-2026-04-28-1,2026-04-28,Paneer Meal,85,Lunch,120
SYN-2026-04-28-2,2026-04-28,Rice Bowl,123,Lunch,60
SYN-2026-04-28-3,2026-04-28,Idli & Sambar,138,Breakfast,40
SYN-2026-04-28-4,2026-04-28,Dal Khichdi,91,Lunch,65
SYN-2026-04-29-0,2026-04-29,Veg Thali,192,Lunch,80
SYN-2026-04-29-1,2026-04-29,Paneer Meal,84,Lunch,120
SYN-2026-04-29-2,2026-04-29,Rice Bowl,132,Lunch,60
SYN-2026-04-29-3,2026-04-29,Idli & Sambar,151,Breakfast,40
SYN-2026-04-29-4,2026-04-29,Dal Khichdi,93,Lunch,65
SYN-2026-04-30-0,2026-04-30,Veg Thali,186,Lunch,80
SYN-2026-04-30-1,2026-04-30,Paneer Meal,77,Lunch,120
SYN-2026-04-30-2,2026-04-30,Rice Bowl,124,Lunch,60
SYN-2026-04-30-3,2026-04-30,Idli & Sambar,154,Breakfast,40
SYN-2026-04-30-4,2026-04-30,Dal Khichdi,102,Lunch,65
SYN-2026-05-01-0,2026-05-01,Veg Thali,219,Lunch,80
SYN-2026-05-01-1,2026-05-01,Paneer Meal,95,Lunch,120
SYN-2026-05-01-2,2026-05-01,Rice Bowl,132,Lunch,60
SYN-2026-05-01-3,2026-05-01,Idli & Sambar,156,Breakfast,40
SYN-2026-05-01-4,2026-05-01,Dal Khichdi,113,Lunch,65
SYN-2026-05-02-0,2026-05-02,Veg Thali,203,Lunch,80
SYN-2026-05-02-1,2026-05-02,Paneer Meal,85,Lunch,120
SYN-2026-05-02-2,2026-05-02,Rice Bowl,126,Lunch,60
SYN-2026-05-02-3,2026-05-02,Idli & Sambar,140,Breakfast,40
SYN-2026-05-02-4,2026-05-02,Dal Khichdi,89,Lunch,65
SYN-2026-05-03-0,2026-05-03,Veg Thali,184,Lunch,80
SYN-2026-05-03-1,2026-05-03,Paneer Meal,80,Lunch,120
SYN-2026-05-03-2,2026-05-03,Rice Bowl,129,Lunch,60
SYN-2026-05-03-3,2026-05-03,Idli & Sambar,152,Breakfast,40
SYN-2026-05-03-4,2026-05-03,Dal Khichdi,95,Lunch,65
SYN-2026-05-04-0,2026-05-04,Veg Thali,185,Lunch,80
SYN-2026-05-04-1,2026-05-04,Paneer Meal,74,Lunch,120
SYN-2026-05-04-2,2026-05-04,Rice Bowl,117,Lunch,60
SYN-2026-05-04-3,2026-05-04,Idli & Sambar,146,Breakfast,40
SYN-2026-05-04-4,2026-05-04,Dal Khichdi,99,Lunch,65
SYN-2026-05-05-0,2026-05-05,Veg Thali,200,Lunch,80
SYN-2026-05-05-1,2026-05-05,Paneer Meal,79,Lunch,120
SYN-2026-05-05-2,2026-05-05,Rice Bowl,114,Lunch,60
SYN-2026-05-05-3,2026-05-05,Idli & Sambar,132,Breakfast,40
SYN-2026-05-05-4,2026-05-05,Dal Khichdi,91,Lunch,65
SYN-2026-05-06-0,2026-05-06,Veg Thali,190,Lunch,80
SYN-2026-05-06-1,2026-05-06,Paneer Meal,82,Lunch,120
